year,period,area(km2),cumulative_area
1770,1770,0.179194,0.179194
1800,1771-1800,0.146163,0.325357
1847,1801-1847,0.360282,0.685639
1889,1848-1889,1.217413,1.903052
1908,1890-1908,1.979367,3.882419
1913,1909-1913,0.142011,4.02443
1931,1914-1931,4.986584,9.011014
1940,1932-1940,8.088156,17.09917
1956,1941-1956,11.379334,28.478504
1958,1957-1958,1.371279,29.849783
1976,1959-1976,26.169622,56.019405
1979,1977-1979,2.340059,58.359464
1991,1980-1991,10.296515,68.655979
2005,1992-2005,29.098145,97.754124
2010,2006-2010,4.338324,102.092448
2015,2011-2015,2.663966,104.756414
2020,2016-2020,1.66811,106.424524
2023,2021-2023,0.663331,107.087855
