id;Fecha;Fallecidos
129;29/06/2024;1
245;3/11/2022;0
232;27/10/2022;0
225;12/07/2022;2
1036;27/06/2022;0
1006;10/06/2022;0
223;20/05/2022;0
942;6/05/2022;0
29;23/11/2021;1
226;12/11/2021;0
381;12/11/2021;0
206;3/09/2021;0
242;10/06/2021;0
286;10/06/2021;0
991;10/06/2021;1
604;1/06/2021;0
1040;24/03/2021;0
28;14/12/2020;2
889;10/07/2020;0
888;18/12/2019;2
459;13/11/2019;0
885;2/06/2018;0
234;1/06/2018;0
884;1/06/2018;0
882;20/05/2018;0
883;20/05/2018;0
990;15/05/2018;0
886;11/05/2018;0
887;11/05/2018;0
881;9/05/2018;0
1032;9/05/2018;0
950;29/04/2018;0
880;27/04/2018;0
878;10/04/2018;0
879;25/03/2018;0
573;9/01/2018;0
877;30/12/2017;0
497;28/12/2017;0
610;24/10/2017;0
874;4/08/2017;0
876;22/06/2017;0
916;11/06/2017;0
917;11/06/2017;0
918;11/06/2017;0
919;11/06/2017;0
920;11/06/2017;0
921;11/06/2017;0
922;11/06/2017;0
875;29/05/2017;0
873;30/04/2017;1
872;7/04/2017;0
871;1/04/2017;1
870;31/03/2017;1
949;31/03/2017;0
27;8/02/2017;1
869;10/12/2016;0
868;9/12/2016;0
866;22/09/2016;0
867;21/09/2016;0
122;28/08/2015;2
91;10/03/2015;1
865;16/09/2014;0
864;13/07/2014;0
57;13/08/2013;2
609;22/05/2013;0
608;18/05/2013;0
108;22/01/2012;18
166;21/01/2012;13
168;21/01/2012;1
169;21/01/2012;4
94;10/12/2011;3
134;10/12/2011;4
190;10/12/2011;1
191;10/12/2011;1
124;25/11/2011;1
46;24/11/2011;1
74;24/11/2011;1
82;23/11/2011;1
123;17/11/2011;1
127;17/11/2011;3
136;17/11/2011;4
186;17/11/2011;2
192;17/11/2011;2
44;16/11/2011;1
58;16/11/2011;2
179;16/11/2011;1
145;27/04/2011;1
24;10/04/2011;4
162;10/04/2011;4
863;1/12/2010;0
55;14/11/2010;4
23;13/11/2010;3
63;13/11/2010;1
177;13/11/2010;1
184;13/11/2010;3
25;12/11/2010;1
56;11/11/2010;1
238;7/11/2010;0
3;2/11/2010;1
125;2/11/2010;1
862;2/11/2010;0
861;2/06/2010;0
860;3/04/2009;2
202;24/01/2009;1
204;24/01/2009;0
205;24/01/2009;0
203;31/12/2008;1
120;4/12/2008;3
1;16/11/2008;12
488;12/10/2008;0
47;18/07/2008;3
135;18/07/2008;4
54;17/07/2008;8
458;16/07/2008;4
80;7/06/2008;1
182;7/06/2008;1
948;6/06/2008;0
859;2/06/2008;0
173;31/05/2008;28
938;26/05/2008;0
947;25/05/2008;0
244;13/04/2008;0
858;12/04/2008;0
968;23/03/2008;0
64;13/03/2008;3
39;22/02/2008;4
86;22/02/2008;1
606;20/02/2008;0
33;5/01/2008;1
469;26/10/2007;2
2;23/10/2007;2
38;23/10/2007;1
157;23/10/2007;2
87;28/05/2007;8
607;27/05/2007;7
856;26/05/2007;0
857;26/05/2007;0
855;18/05/2007;0
853;22/11/2006;0
5;14/11/2006;5
71;14/11/2006;5
112;14/11/2006;2
457;13/10/2006;0
101;6/05/2006;3
159;28/04/2006;1
194;28/04/2006;1
84;27/04/2006;1
852;23/03/2006;3
854;22/03/2006;0
131;1/03/2006;1
36;15/11/2005;5
40;28/09/2005;1
154;13/07/2005;2
15;20/05/2005;1
130;20/05/2005;1
181;20/05/2005;1
62;16/02/2005;1
153;16/02/2005;1
37;15/02/2005;1
164;1/12/2004;1
456;11/11/2004;0
455;6/11/2004;0
851;3/11/2004;0
228;23/10/2004;0
151;21/10/2004;4
849;18/10/2004;0
850;9/10/2004;0
848;3/10/2004;1
35;2/05/2004;19
227;24/04/2004;2
1003;24/04/2004;2
454;12/03/2004;0
88;1/11/2003;3
12;31/10/2003;3
111;31/10/2003;1
18;29/10/2003;2
195;29/10/2003;2
109;28/10/2003;10
128;23/10/2003;2
106;27/09/2003;11
65;11/07/2003;7
22;16/06/2003;2
185;16/06/2003;2
847;14/06/2003;2
121;25/05/2003;7
170;8/04/2003;2
149;7/04/2003;1
147;3/04/2003;1
66;1/04/2003;7
72;13/03/2003;15
189;20/02/2003;1
79;18/02/2003;1
96;12/02/2003;1
146;10/02/2003;1
119;7/02/2003;1
139;5/02/2003;1
148;4/02/2003;1
103;28/01/2003;1
283;13/11/2002;0
107;31/10/2002;2
846;28/10/2002;0
1035;28/10/2002;0
140;27/10/2002;3
845;25/10/2002;0
201;24/10/2002;0
591;14/10/2002;0
76;9/10/2002;1
92;3/10/2002;2
102;3/10/2002;2
150;3/10/2002;1
188;3/10/2002;2
198;3/10/2002;1
77;29/09/2002;1
165;29/09/2002;5
132;24/09/2002;6
171;24/09/2002;3
67;30/06/2002;2
1063;21/05/2002;0
110;8/04/2002;1
844;15/01/2002;0
1086;21/12/2001;0
282;6/12/2001;0
376;20/11/2001;0
526;20/11/2001;0
546;20/11/2001;0
598;20/11/2001;0
602;20/11/2001;0
126;14/11/2001;5
984;31/10/2001;0
983;14/10/2001;0
486;19/07/2001;0
487;14/07/2001;0
113;19/04/2001;2
200;21/01/2001;0
937;25/12/2000;0
841;17/12/2000;0
840;5/12/2000;0
543;4/12/2000;0
839;6/11/2000;0
85;3/11/2000;1
493;3/11/2000;0
1029;3/11/2000;0
279;1/11/2000;0
915;1/11/2000;0
600;3/10/2000;0
1030;3/10/2000;0
819;28/09/2000;0
597;21/09/2000;0
838;20/09/2000;0
534;18/09/2000;0
824;12/09/2000;0
105;10/09/2000;2
116;10/09/2000;3
572;10/09/2000;0
837;10/09/2000;0
452;6/09/2000;0
829;5/09/2000;0
451;2/09/2000;0
453;31/08/2000;0
544;27/08/2000;0
1060;14/08/2000;0
969;2/08/2000;0
816;1/08/2000;0
822;30/07/2000;0
380;26/07/2000;0
281;24/07/2000;0
483;21/07/2000;0
545;12/07/2000;0
42;5/07/2000;2
843;4/07/2000;2
60;2/07/2000;1
152;1/07/2000;1
836;27/06/2000;0
818;26/06/2000;0
815;15/06/2000;0
1062;12/06/2000;0
218;7/06/2000;0
814;5/06/2000;0
821;31/05/2000;0
533;30/05/2000;0
590;30/05/2000;0
825;30/05/2000;0
820;28/05/2000;0
826;26/05/2000;0
494;25/05/2000;0
1061;24/05/2000;0
1085;24/05/2000;0
41;23/05/2000;1
496;21/05/2000;0
525;18/05/2000;0
589;18/05/2000;0
835;17/05/2000;0
601;15/05/2000;0
813;15/05/2000;0
280;14/05/2000;0
1001;14/05/2000;7
823;13/05/2000;0
1002;13/05/2000;7
220;9/05/2000;0
231;9/05/2000;0
831;9/05/2000;0
215;8/05/2000;0
217;8/05/2000;0
219;8/05/2000;0
216;7/05/2000;0
834;1/05/2000;0
484;17/04/2000;0
485;16/04/2000;0
524;16/04/2000;0
1059;27/03/2000;0
812;25/03/2000;0
830;21/03/2000;0
828;6/03/2000;0
78;1/03/2000;1
1031;28/02/2000;0
811;27/02/2000;0
1028;27/02/2000;0
842;24/02/2000;0
832;17/02/2000;0
833;13/02/2000;0
827;31/01/2000;0
222;30/01/2000;0
495;30/01/2000;0
278;17/01/2000;0
961;16/01/2000;0
817;11/01/2000;0
277;10/01/2000;0
492;7/01/2000;0
936;20/12/1999;0
603;17/12/1999;0
758;11/12/1999;0
807;24/11/1999;0
806;10/11/1999;0
802;7/11/1999;0
768;3/11/1999;0
370;31/10/1999;0
767;31/10/1999;0
43;28/10/1999;3
89;28/10/1999;3
1024;28/10/1999;0
161;27/10/1999;3
957;27/10/1999;0
803;26/10/1999;0
914;26/10/1999;0
1027;26/10/1999;0
810;24/10/1999;0
268;20/10/1999;0
801;19/10/1999;0
1025;17/10/1999;0
772;15/10/1999;0
269;14/10/1999;0
272;14/10/1999;0
450;14/10/1999;0
804;13/10/1999;0
449;9/10/1999;0
784;7/10/1999;0
221;6/10/1999;0
770;5/10/1999;0
273;4/10/1999;0
805;3/10/1999;0
774;26/09/1999;0
448;25/09/1999;0
978;23/09/1999;1
773;22/09/1999;1
781;16/09/1999;0
800;14/09/1999;0
371;12/09/1999;0
372;28/07/1999;0
808;27/07/1999;0
1026;14/07/1999;0
760;13/07/1999;0
