year	type	area
2005	0	5.269303
2005	1	1.035819
2005	2	11.171487
2005	3	4.47061
2005	4	0.754158
2005	5	2.797287
2005	6	3.517374
2005	7	12.129163
2010	0	0.191382612
2010	2	3.251412341
2010	3	0.395052963
2010	4	0.434592566
2010	5	0.307537244
2010	6	0.134537911
2010	7	3.428092701
2015	0	0.087640836
2015	2	1.549118872
2015	3	0.396111186
2015	4	0.429029928
2015	5	0.100364521
2015	6	0.118911808
2015	7	1.592757998
2020	0	0.049242109
2020	2	0.736668948
2020	3	0.11935198
2020	4	0.085818747
2020	5	0.29637652
2020	6	0.29863869
2020	7	3.746460967
2023	0	0.002931789
2023	2	0.190673064
2023	3	0.089981307
2023	4	0.080512597
2023	5	0.240615895
2023	6	0.111855618
2023	7	1.540895437
